"{""type"":""handy""}",
0,34
266,78
433,90
633,70
800,23
900,33
900,34
1166,78
1333,90
1533,70
1700,23
1800,33
1800,34
2066,78
2233,90
2433,70
2600,23
2700,33
2700,34
2966,78
3133,90
3333,70
3500,23
3600,33
4600,34
4733,77
4900,90
5000,63
5033,30
5100,10
5266,30
5266,34
5400,77
5566,90
5666,63
5700,30
5766,10
5933,30
5933,34
6066,77
6233,90
6333,63
6366,30
6433,10
6600,30
6600,34
6733,77
6900,90
7000,63
7033,30
7100,10
7266,30
7266,34
7400,77
7566,90
7666,63
7700,30
7766,10
7933,30
8933,36
9133,87
9199,72
9266,21
9299,7
9433,35
9599,87
9699,8
9799,32
9966,88
10033,13
10133,34
10166,62
10266,84
10333,15
10399,36
10433,71
10533,91
10599,13
10666,35
10699,66
10799,90
10866,11
10966,0
11399,31
11833,88
11999,73
12066,36
12166,8
12466,32
12599,65
12899,92
12966,74
13266,37
14266,63
15266,34
15532,78
15699,90
15899,70
16066,23
16166,33
16166,34
16432,78
16599,90
16799,70
16966,23
17066,33
17066,34
17332,78
17499,90
17699,70
17866,23
17966,33
17966,34
18232,78
18399,90
18599,70
18766,23
18866,33
19866,34
19999,77
20166,90
20266,63
20299,30
20366,10
20532,30
20532,34
20666,77
20832,90
20932,63
20966,30
21032,10
21199,30
21199,34
21332,77
21499,90
21599,63
21632,30
21699,10
21866,30
21866,34
21999,77
22166,90
22266,63
22299,30
22366,10
22532,30
22532,34
22666,77
22832,90
22932,63
22966,30
23032,10
23199,30
24199,36
24399,87
24465,72
24532,21
24565,7
24699,35
24865,87
24965,8
25065,32
25232,88
25299,13
25399,34
25432,62
25532,84
25599,15
25665,36
25699,71
25799,91
25865,13
25932,35
25965,66
26065,90
26132,11
26232,0
26665,31
27099,88
27265,73
27332,36
27432,8
27732,32
27865,65
28165,92
28232,74
28532,37
29532,63
30532,34
30798,78
30965,90
31165,70
31332,23
31432,33
31432,34
31698,78
31865,90
32065,70
32232,23
32332,33
32332,34
32598,78
32765,90
32965,70
33132,23
33232,33
33232,34
33498,78
33665,90
33865,70
34032,23
34132,33
35132,34
35298,77
35465,90
35565,63
35598,30
35665,10
35832,30
35832,34
35998,77
36165,90
36265,63
36298,30
36365,10
36532,30
36532,34
36698,77
36865,90
36965,63
36998,30
37065,10
37232,30
37232,34
37398,77
37565,90
37665,63
37698,30
37765,10
37932,30
37932,34
38098,77
38265,90
38365,63
38398,30
38465,10
38632,30
39632,36
39832,87
39898,72
39965,21
39998,7
40132,35
40298,87
40398,8
40498,32
40665,88
40732,13
40832,34
40865,62
40965,84
41032,15
41098,36
41132,71
41232,91
41298,13
41365,35
41398,66
41498,90
41565,11
41665,0
42098,31
42532,88
42698,73
42765,36
42865,8
43165,32
43298,65
43598,92
43665,74
43965,37
44965,63